case_id,support,minimum_destroying_budget,threshold_lower_open,threshold_upper_closed
alph05-10071-2024,fine_F100,2.0,0.1452929252973153,2.2831676147449826
alph05-10071-2024,fine_F100,4.0,0.14529292524371984,0.1452929252973153
alph05-10071-2024,shared_F000,2.0,0.26499631409867314,3.7572347183585886
alph05-10071-2024,shared_F000,4.0,0.26499631376476296,0.26499631409867314
alph15-10929-3036,fine_F100,2.0,0.6034775701236038,6.534541669343037
alph15-10929-3036,fine_F100,4.0,0.6034775634335144,0.6034775701236038
alph15-10929-3036,shared_F000,2.0,1.6442596248017918,23.435142195663275
alph15-13929-2024,fine_F100,2.0,0.2692322020527564,3.7246332570244247
alph15-13929-2024,shared_F000,2.0,0.5286750076323379,7.252001420804765
alph15-7929-2024,fine_F100,2.0,0.40629638759207126,4.983715712696188
alph15-7929-2024,fine_F100,4.0,0.40629638713983235,0.40629638759207126
alph15-7929-2024,shared_F000,2.0,0.6921246911989505,9.080316209737594
